Sentence,Category
"626,departmental bcp base finding Business Impact Analysis BIA place manage situation event department able perform process directly impact Companys product service",Social
"627,Disaster Recovery plan drp plan establish provide strategy working process recover information technology system support critical process",Social
"628,include resource require ensure business continuity acceptable recovery time acceptable operational level",Governance
"629,BCP critical business process AIS Business Continuity Management Committee assign senior executive head related party prepare business continuity plan ensure continuation critical business process direct impact Companys ability deliver critical service",Governance
"630,responsibility management staff support activity relate business continuity management",Governance
"631,chief preparation business continuity plan allocation resource accord business continuity plan carry practice drill review plan ensure effectiveness business continuity management",Governance
"632,build organizational culture enterprise risk Management promote robust implementation risk management framework Company place activity embed risk culture management employee build awareness understanding role responsibility apply risk management daytoday operation enhance ability achieve Companys objective goal",Governance
"633,ais work foster organizational culture risk management follow tone",Governance
"634,set clear direction Company communicate semiannual performance review ensure employee level understanding acknowledge direction obstacleschallenge company business operation shortterm longterm",Social
"635,management set clear expectation employee manage risk achievement objective",Governance
"636,management role model actively discuss risk risk appetite daytoday operation activity",Governance
"637,risk governance transparency",Governance
"638,management employee clear accountability manage risk",Governance
"639,role clearly state Companys Risk Management Policy Manual",Governance
"640,promote open honest communication relevant party include riskrelate information incident",Social
"641,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement risk resource competence",Governance
"642,encourage director executive attend training development risk Management relate topic form training program knowledge share form expert activity",Governance
"643,provide knowledge risk Management principle employee online learn platform employee selfstudy convenience",Social
"644,publish knowledgesharing material infographic easyto understand ebrochure employee",Social
"645,Risk Management Unit provide advice department apply risk management concept function facilitated risk workshop risk register template etc",Governance
"646,decision making motivation",Governance
"647,promote discussion risk acceptable acceptable use information basis decision making process",Governance
"648,integrate risk management companys new product service development process",None
"649,feasibility study process project owner shall identify risk factor financial risk regulatory compliance risk related mitigation plan support consideration project approval",Social
"650,Company plan integrate risk management business plan approval process performance appraisal",Governance
"651,performance result goal Business Continuity Management System BCMS AIS receive ISO Business Continuity Management System certification Cloud service colocation service certify company develop complete business continuity management system cope crisis disaster far enhance sustainable development organization",Social
"652,AIS continue conduct business continuity practice drill continuation critical business process",Social
"653,drill scenario fire situation Companys main office building result interruption AIS network service carry test responsiveness business continuity plan ensure continuity service",Social
"654,Company place importance create knowledge understanding awareness Business Continuity Management System BCMS employee",Social
"655,learning material prepare form ELearning Infographics communicate employee level",Social
"656,risk Management System AIS establish risk management process report result quarterly focus emerge risk",Governance
"657,ais incorporate risk analysis assessment development business strategy objective enhance awareness understanding risk management",Governance
"658,Risk Management Committee present information relevant business operation Board Directors Executive Committee Audit Risk Committee regular basis",Governance
"659,relevant department receive information manage risk timely manner",Governance
"660,addition Company focus provide education raise awareness risk management framework director management employee regular basis ensure risk management practice date line current circumstance",Governance
"661,risk Management implementation ongoing improvement Company continue apply COSO ERM Enterprise risk Management Integrating Strategy Performance function",Governance
"662,Business Continuity Company apply ISO framework Business Continuity Management System business process ensure AIS ready able respond manage variety situation time crisis",Social
"663,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement risk factor identify risk potential impact business objective goal opportunity AIS AIS group company AIS consider follow factor",Governance
"664,internal external factor human resource change technology regulation customer behavior business environment",Social
"665,extreme event ongoing condition adverse effect Companys work practice business competitiveness include flood fire natural disaster pandemic",Social
"666,past event current exposure future trend affect AIS group business operation",None
"667,significant movement economy society environment short term long term",None
"668,cause potentially adverse event affect AIS group business operation",None
"669,new initiative new product service AIS seek develop",None
"670,opportunity identify new value add activity",Social
"671,risk identification process Management employee identify risk corporate functional level risk Management Working Group consider select identify risk propose Risk Management Committee corporate risk Risk Management Committee consider propose risk prioritize base likelihood potential impact",Governance
"672,process include definition acceptable risk level risk appetite tolerance identification mitigation risk management action",Governance
"673,Risk Management Committee propose plan Board Directors acknowledgement",Governance
"674,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Significant risk factor AIS consider risk factor base Sustainability Environmental Social Governance ESG consider risk factor ongoing risk emerge risk occur change environment",Governance
"675,classify follow risk category ESG Strategic Risks Operational Risks Financial Risks Compliance Risks Emerging Risks environmental e Climate Change risk Social S risk Data Privacy risk inability acquire retain interdisciplinary talent g risk Intensive Competition Market risk Technological Advancements substitution product service Supply Chain risk risk major network Failure Interruption",None
"676,Important Systems risk Information Security Threats CyberAttack risk Exchange Rate Fluctuation Risks absence debt covenant ratio risk change government policy rule regulation order regulator risk arise Disputes Government Agencies risk Potential Consolidation Main Competitors Geopolitical Geoeconomics Risk Annual Report form Report l Advanced Info Service Public Company Limited Chairman",Social
"677,CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Risks Industry Regulation Government Policies",Governance
"678,risk Changes Government Policies Rules Regulations Orders Regulators AIS operate supervision government agency NBTC organization responsible regulate operator grant license telecommunication industry legal authority issue rule regulation order regulate licensee",Governance
"679,rule regulation order issue future relate amend tariff structure service fee measure consumer protection potential affect Companys business operation reduce Companys ability generate profit andor increase cost service",None
"680,work directly relate government agency AIS dedicated unit responsible regularly monitor issuance change regulation report change management coordinate relevant department ensure inform promptly ready respond",Social
"681,unit role include act intermediary coordinate government agency ensure necessary information business impact regulation",Governance
"682,furthermore Company service provider direct stakeholder invite provide opinion comment draft law rule regulation andor order issue enforcement future",None
"683,unit Company opportunity comment suggestion andor raise concern opposition enactment law rule regulation andor order event deem likely impact Companys operation unlawfully conduct",None
"684,risk arise Disputes Government Agencies past AIS operate business provide telecommunications service concession agreement State enterprise",None
"685,require transfer asset Company invest use business operation government contracting party implementation revenue sharing model specify rate",None
"686,AIS encounter number dispute arise disagreement interpretation agreement revenue share",None
"687,case nbtc announcement regulation order result impact AIS business operation concern compliance extent affect business operation operating income andor increase service cost",None
"688,case AIS exercise right law sue NBTC court law order contest legitimacy action undertake NBTC",None
"689,information additional detail topic AIS establish department directly responsible coordinate government agency Company contract party conduct business correctly complete compliance relevant contract",Governance
"690,event conflict Company enter negotiation aim seek prompt settlement",Governance
"691,event issue resolve negotiation dispute enter dispute resolution process arbitral tribunal specify agreement",None
"692,addition matter court jurisdiction rule final decision",None
"693,Operational Risks",None
"694,risk Intensive Competition market high penetration rate especially mobile business limit subscriber growth cause intense price competition operator continue grow customer base market share",None
"695,include offer promotion package especially provision mobile package bundle mobile device prevalently introduce unlimited datum package attract customer",None
"696,development limit revenue growth opportunity operator need expand network maintain quality",Social
"697,result profitability challenge",None
"698,AIS incorporate follow step risk management plan develop new technology G open opportunity product service differentiate diverse G service residential corporate customer",Social
"699,help generate additional new form income",Social
"700,introduce Fixed Mobile Convergence fmc product continually expand Companys Fixed Broadband network enhance network quality coverage",None
"701,drive new digital business offer service relate daily life Potential Impact Risks Risk Movement Business operation revenue cost company reputation significant change Potential Impact Risks Risk Movement financial status company reputation significant change Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance",None
"702,Corporate Governance Management Structure Internal Control Financial Statement digital form customer video platform service insurance service financial service etc help create new source income",Governance
"703,enhance quality sale service privilege program build differentiation gain customer engagement",Social
"704,develop strategy maintain customer base offer personalize product service meet need customer use Advanced Analytics Tools",Social
"705,risk Technological Advancements substitution product service Changes advance technology especially digital technology enable new type product service new entrant service provider new digital online channel new business model low cost structure",None
"706,include platform provider OTT service message music video social medium investment telecommunication infrastructure require enable consumer enjoy alternative service OTT low fee case free base advertising model",None
"707,increase new service substitute service currently provide company internet service satellite",None
"708,trend directly affect business operation Company require continue invest improve network develop offer product service generate revenue",None
"709,risk inability acquire retain interdisciplinary talent employment market trend significantly change covid outbreak",Social
"710,result business grow support change consumer behavior government direction drive digital adoption create high demand skilled worker Digital Sales customer service",Social
"711,addition change behavior workingage population need worklife balance demand hybrid work model bring challenge Company attract talent create opportunity career advancement adopt flexible workplace policy maintain corporate culture employee happy",Social
"712,able respond quickly customer need",None
"713,company develop necessary skill capability timely manner business advantage current business new business future impact",None
"714,AIS incorporate follow step risk management plan respond customer need",Social
"715,imperative Company adapt develop business plan tackle challenge order retain customer base generate revenue sustain long term growth",None
"716,AIS incorporate follow step risk management plan define key strategy shortterm longterm respond change customer behavior technology",Governance
"717,Invest new business create new source revenue long term focus new digital business collaboration partner industry expert Cloud IoT Cyber security Digital finance",Social
"718,develop improve exist product service advanced technology address digital lifestyle consumer example",Social
"719,offer new valueadde product service mobile phone highspeed internet digital content reduce complexity save cost customer increase privilege attract customer",None
"720,increase capability satisfy customer need use Data Analytics offer product service meet customer demand",Social
"721,Digitalize customer service eg",None
"722,online product offer build AIChatbot capability implement Robotic Process Automation customer service develop network infrastructure customer service system support system incorporate new technology cloud technology",None
"723,transform organizational structure develop competency employee support key strategy company",Social
"724,Invest research development innovation capture trend new technology partner external organization business partner research develop innovation",Social
"725,Potential Impact Risks Risk Movement financial revenue market share company reputation increase likelihood Potential Impact Risks Risk Movement financial revenue market share company reputation increase likelihood Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal",Governance
"726,Control Financial Statement Recruit employee new ability meet need Company develop necessary skill capability apply new business future",Governance
"727,collaborate worldclass institution specific expertise lay foundation develop requisite knowledge prepare highpotential employee digital business age ensure readiness emerge risk digital era",Social
"728,plan succession plan clear Career Model open opportunity growth organization",Social
"729,create organizational culture digital era agility capability continuous selfimprovement ethic FIT FUN FAIR",Social
"730,AIS incorporate follow step risk management plan apply multivendor purchasing policy major equipment service prevent risk rely single supplier",Social
"731,establish approve vendorsupplier list vendorssupplier pass Companys quality standard Multivendor",Social
"732,maintain equipment spare inventory suitable level order avoid shortage",None
"733,Engage longterm contract Frame Contract main ven dorsservice supplier",Social
"734,explore new technology reduce dependence particular equipment",Environmental
"735,risk Major Network Failure Interruption Important Systems Telecommunications service basic infrastructure consumer enterprise",None
"736,uncontrollable disaster natural disaster crisis event potentially lead interruption Companys network primary operating system business activity directly affect continuity service delivery Company reputation reliability Company revenue include additional expense compensate customer recovery service",None
"737,ensure Companys continuity deliver service customer AIS set follow step risk management plan set redundancy backup key operating system require provide service",Governance
"738,set system process monitor quality operation network resolve problem timely manner",Governance
"739,schedule maintenance plan equipment system important",None
"740,adopt infrastructure design reduce potential impact disaster eg",Social
"741,apply EIAC standard telecom tower support high wind speed record Thai history raise height base station base level heavy flooding year",Environmental
"742,Establish Business Continuity Management BCM policy corporate departmental level conduct Annual Review carry exercise practice test Business Continuity Plan",Governance
"743,AIS receive ISO Business Continuity Management System certification recognition implementation Companys Business Continuity Management System cope crisis situation",Social
"744,Supply Chain risk Company source network equipment maintenance service limited number vendorssupplier available mainly China european country",Social
"745,general telecommunication service provider tend use equipment vendor ensure technology compatibility nationwide service proper maintenance service",None
"746,past year increase tension cause public policy trade dispute China United States America global chipset shortage situation covid outbreak cause impact global supply chain disruption",Social
"747,vendorssupplier unable deliver network equipment affect network expansion plan",None
"748,Potential Impact Risks Risk Movement Company reputation market share Trend increase Potential Impact Risks Risk Movement financial revenue business system disruption company reputation significant change Potential Impact Risks Risk Movement Financial revenue company reputation unachieved operation significant change Annual Report form Report l Advanced Info Service Public Company Limited Chairman ceo",None
"749,Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement",Governance
"750,risk Data Privacy Company provide service large number customer individual enterprise essential secure personal datum prevent risk arise leakage customer personal datum",Social
"751,addition risk occur violation human right company disclose information request",Governance
"752,Company subject compliance relevant law regulation example Personal Data Protection Act PDPA General Data Protection Regulation GDPR",Governance
"753,AIS incorporate follow step risk management plan Set Data Protection Office DPO monitor coordinate relevant party ensure Company proper process respect collection use disclosure personal datum",Governance
"754,develop Privacy Policy accordance relevant law regulation announcement government",Governance
"755,develop procedure access manage personal datum secure manner",Social
"756,ensure proper internal control place subject regular review",Governance
"757,case Company disclose personal datum government body request Company verify legal authority requestor determine scope datum prescribe law ensure violation personal right",Governance
"758,case datum leakage undergo process place handle customer complaint include respond mitigate action",Social
"759,threat detection focus reduce detection time time handle detect threat apply automation process detect respond threat etc",Social
"760,enhance information security measure eg review access control procedure maintain closed working environment build awareness entire company",Social
"761,Enhance staff competency relate Cybersecurity order operate accordance standard personal data protection cloud security vulnerability system detection threat etc",Social
"762,Enhance cybersecurity knowledge understand awareness employee executive level",Social
"763,Review improve cyberthreat response process align global NIST Cybersecurity Framework integrate organization crisis response plan",Social
"764,Conduct Cyber Drill year cover relevant employee executive",Governance
"765,risk Information Security Threats Cyberattack Company rapidly develop variety product service serve customer need follow digital era transform customer behavior",Social
"766,new technology system essential develop improve product service complexity application advanced technology come risk inherent information technology",Social
"767,risk result complexity technology gap skill knowledge level company employee potential deficiency Companys system external threat cyberattack",Social
"768,information security system insufficient incomplete impact company especially important datum personal datum customer compromise",Social
"769,include cyberattack eg DDoS attack website phishing malwareviruse etc cause severe business disruption",Social
"770,ensure effectiveness Companys information security AIS regularly review revise security policy Companys system follow way apply suitable international standard alignment Cybersecurity Act Personal Data Protection Act",Social
"771,extend expand security tool cover significant system Multi Factor Authentication MFA access information technology system outside company expand threat detection capability emphasize proactive Potential Impact Risks Risk Movement Company reputation penalty regulatory body significant change Potential Impact Risks Risk Movement financial revenue business system disruption company",Social
"772,reputation significant change Financial Risks",None
"773,risk Exchange Rate Fluctuation Company expose risk foreign exchange rate fluctuation International Roaming revenue expenditure foreign currency certain network expenditure foreign currency",None
"774,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement AAtha rating end reflect high capability settle interest capital obligation strong financial standing",Governance
"775,company devote importance maintain credit rating interest capital cost appropriate level longterm financial stability prioritize maintenance financial ratio act key indicator credit rating Net Debt ebitda standard rating firm",None
"776,emerge risk",None
"777,risk arise potential consolidation main competitor potential consolidation main competitor result opportunity risk AIS operating strategy number major telecommunication operator especially mobile communication service drop similar market share",None
"778,consolidation lead change competitor financial AIS incorporate follow step risk management plan arrange Management meeting consider situation prepare adjust Companys strategy operation accordingly",Governance
"779,Study regulation andor relevant law coordinate government agency oversight authority view government sector prepare Company respond change rule regulation",Social
"780,commit develop expand network infrastructure continuously emphasis leader provide high quality service build consumer confidence",Social
"781,work organizational preparedness deliver diverse range product service address change need expectation consumer",Social
"782,climate Change risk climate change issue increasingly gain attention global community",Environmental
"783,country affect extreme weather event Thailand join force international community tackle problem announce plan pursue netzero carbon emission target",Environmental
"784,development climate change emerge risk prompt thai government adjust policy",Environmental
"785,process drafting climate changerelate law revise national energy plan prepare operation line target",Environmental
"786,addition failure climatechange adaptation discuss global community result need adjust plan tackle increase risk climate change",Environmental
"787,status competitiveness investment",Social
"788,instigate change market competition scenario affect regulate guideline NBTC industry view consumer operator",Social
"789,necessary AIS prepare cope situation",Environmental
"790,risk absence debt covenant ratio term company loan agreement absence debt covenant ratio condition debenture issuer holder company adhere company accrue unmitigated debt impact repayment ability",None
"791,company exercise caution debt accruement analyze necessity debt term benefit result investment relate opportunity generation revenue profit support longterm growth",None
"792,analysis perform appropriately plan cash flow ensure longterm stability determine financial obligation repayment capability determine appropriate borrowing instrument right cost avoid impact companys financial status",None
"793,company long maintain high credit rating lead domestic international firm achieve Potential Impact Risks Risk Movement Cost andor revenue significant change Potential Impact Risks Risk Movement Revenue Financial Status cost significant change AIS incorporate follow step risk management plan enact exchange risk management policy manage financial instrument",None
"794,example use Forward Contracts specify exchange rate time contract date apply future delivery contract service",None
"795,use exist foreign currency deposit Natural Hedge payment good service foreign currency",None
"796,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement AIS business operation likely affect physical risk transition risk area follow",Governance
"797,natural disaster damage network infrastructure device increase operate cost level preventive measure damage maintenance",Social
"798,transportation production impact supply chain disruption",Social
"799,change regulation government policy tend control greenhouse gas emission upward pressure operating management cost prompt AIS adjust way thinking create innovation enhance energy efficiency reduce greenhouse gas emission compliance future legislature",Environmental
"800,change behavior consumer ecoconscious bring challenge opportunity AIS demand Company adjust business strategy corporate image align development",Social
"801,generate new source revenue low carbon product service enterprise client look digital service help reduce greenhouse gas emission general customer opt company concern environment",Environmental
"802,AIS incorporate follow step risk management plan change target align global national trend",Social
"803,aim global community tackle climate change AIS adjust Companys environmental target challenging adopt Sciencebased Target Initiative SBTi stimulate business value chain streamline operation environmentally friendly",Environmental
"804,promote Energy Efficiency study customer usage behavior use power saving feature properly manage network channel help reduce energy consumption GHG emission",Environmental
"805,Alternative Energy Use instal solar panel base station datum center switch center",Environmental
"806,AIS team business partner expertise alternative energy plan accelerate proportion alternative energy use low operating management cost",Environmental
"807,Preparation climate adaptation",Environmental
"808,assess climaterelate risk scenario analysis formulate plan new site construction elevate Mobile Base Station BTS build flood wall floodprone area",Environmental
"809,LowCarbon Products Services Development Customer Engagement develop smart solution service enable corporate client enhance energy efficiency means reduce GHG emission Smart factory smart property building",Environmental
"810,furthermore AIS encourage customer switch mail bill ebilling promote AIS application",None
"811,effort help reduce paper usage need travel",Environmental
"812,geopolitical Geoeconomic Risks major geopolitical event RussiaUkraine conflict USChina strategic competition especially international trade barrier implement policy terrorist attack thing create shock global market subsequently overall wellbeing domestic economic condition",Social
"813,factor result uncertainty macroeconomic environment include consumer business demand supply purchasing power employment tourism",Social
"814,disruption supply demand effect revenue cost structure industrial service sector include telecommunication industry",None
"815,geopolitical geoeconomic risk follow effect business raising cost living purchasing power customer especially prepaid hold majority portion subscriber lower ability generate revenue growth",None
"816,increase operating cost heighten energy price inflation include disruption supply demand impact ability generate profit company delay investment new business",None
"817,factor reduce competitiveness long term",None
"818,incorporate follow step risk mitigation Provide product service variety price level package consumer choose accord purchase power include product service target specific customer group meet need",None
"819,provide distribution channel customer easily access include shop online channel agent",None
"820,enhance feature myai application include service meet consumer lifestyle use case",Social
"821,regularly review allocation capital cost structure business",None
"822,encourage business unit revisit operating model transformation program improve cost structure",None
"823,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Sustainable Development Business year global recovery covid pandemic return normal reality",Governance
"824,economic rebound temper international conflict aggravate problem social inequality",Social
"825,far compound climate change continue pose threat world community",Environmental
"826,challenge inevitably digital technology smart solution service integral people society live work numerous dimension",Social
"827,response AIS priority economic revival development require create society economy ensure sustainable growth leave",Social
"828,accomplish create society immune change arise future",Social
"829,AIS business sustainability option realize Company set role model major service provider commit conduct business pose harm economy society environment",Social
"830,demonstrate commitment operate sustainably dimension result AIS list domestic international sustainability index Dow Jones World Index Emerging Market Index telecommunications industry category consecutive year Index consecutive year SET Thailand Sustainability Investment thsi list consecutive year",Social
"831,addition AIS receive idcs Future Enterprise Awards Special Award Sustainability International Data Corporation IDC list ESG list company promising performance term Environmental Social Governance ESG factor Thaipat Institute consecutive year",Environmental
"832,AIS clearly define sustainable business direction allow goal materialize",Social
"833,aspect term risk opportunity encapsulate Approaches sustainable Development act compass way drive digital economy promote digital inclusion act climate",Environmental
"834,aspect relate risk opportunity encompass economic social environmental dimension categorize topic digital Innovation cyber security customer privacy protection human resource management social inclusion digital wellness climate action waste management",Environmental
"835,furthermore AIS establish Sustainable Development Committee task consider policy strategy goal target activity pertinent sustainable development review performance accord prescribe policy strategy achieve goal",Social
"836,result report Board Directors meet quarterly",Governance
"837,detail Report Pages Scope Authority Duties Board Directors Boardcommittees",Governance
"838,commitment conduct business create balanced value society environment principle good corporate governance",Governance
"839,Company support United Nations Sustainable Development goal lay groundwork countrys development create value sector Thai society enable grow sustainably",Social
"840,sustainability management policy target Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Drive Digital Economy thrive greener inclusive digital world Promote Digital Inclusion Act Climate Enable people business grow digital economy Build inclusive",Social
"841,responsible digital access product service provide inclusive digital access promote social economic wellbeing support consumer digitally responsible promote livelihood Expand g connectivity support economic growth drive digital service consumer enterprise Maintain resiliency datum security privacy Enhance human capital capability support business transformation shape green future life consumer society manage network",Social
"842,operation light environment support customer supply chain reduce environmental footprint Business Sustainability Strategy Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Digital Innovation revenue generate new digital service enable digital",Social
"843,economy Cybersecurity Customer Privacy Protection Uphold security standard equivalent peer group company industry region verify independent party Human Resource Management AIS employee equip new digital skill literacy Enhance cyber security datum privacy protect critical business value chain Social Inclusion improve socioeconomic condition million people",Social
"844,Digital Wellness Empower digital citizenship provide digital solution tool million people Climate Actions reduce GHG emission intensity calculate ratio direct indirect emission data traffic compare baseline short term target Waste emission long term target Zero ewaste landfill short term target maintain zero ewaste landfill long term target increase renewable",Environmental
"845,energy usage total energy consumption drive Digital Economy Promote Digital Inclusion Act climate target sustainable Development Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Management impact stakeholder business value chain Business Value Chain AIS",Environmental
"846,commit cooperate partner value chain maintain longterm relationship consider sustainability creation value product service meet expectation stakeholder",Social
"847,company engage policy strategy procurement aim maintain competitiveness standard collaboration business partner prioritize economic environmental social governance matter",Environmental
"848,policy direct AIS operation include new exist business partner basis follow code ethic Fair Procurement Ethical business practice transparency auditability anticorruption practice strict legal regulatory compliance emphasize consideration social responsibility labor treatment human right sustainable partnership",Social
"849,Green Procurement environmental requirement use significant criterion auction product service category",Environmental
"850,Distribution Channel Quality Control Standards",Governance
"851,evaluation quality distribution channel undertake different standard apply accordance capability main partner channel control quality service standard channel",Governance
"852,evaluation include select large scale distributor Code Ethics declare business partner Guidelines distributor operation provide customer service quality management workshop distributor benchmark measure sale service quality Supply chain risk evaluation risk management process onsite inspection crucial partner partner present social environmental governance risk material AIS operation customer",Social
"853,satisfaction survey service distribution channel audit distribution channel independent auditor Partner Selection Sustainability Risk Assessment determined work partner AIS engage evaluation process partner risk assessment appropriate lifecycle partnership",Social
"854,assessment begin overview partner sustainability evaluation material business social environmental operation",Environmental
"855,newly register partner fundamental environmental social governance information evaluate assess term conflict interest corruption fraud history compliance AIS Code ethic",Social
"856,PreProcurement screen prior procurement key partner AIS thoroughly screen governance corruption fraud history labor human right practice workplace safety health environmental practice",Social
"857,AIS include Code Ethics standard partnership contract requirement pertain specifically partner",Governance
"858,annual Audit Evaluation annual sustainability evaluation undertake partner use survey onsite visit observation key proceeding independently carry evaluation partner understanding AIS Code ethic",Social
"859,tier partner ask communicate sustainable business practice tier partner",Social
"860,Remedial Action FollowUp follow ranking scoring partner base risk evaluation partner high risk area sustainability require compile approve risk mitigation plan timeline ensure identify risk minimize acceptable parameter",Governance
"861,regular followup inspection undertake ensure proper management sustainability risk",Governance
"862,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Management business value chain Sourcing Operations Product service development distribution channel sale service support activity Provision network equipment frequency spectrum mobile fix broadband",None
"863,internet service Provision standard quality environmentally friendly network equipment select vendor advanced technology development adherence regulation consideration human right environmental operational health safety Provision safety test communication equipment eg",Environmental
"864,smart phone tablet router differ price wide customer accessibility acquire license National Broadcasting Telecommunications Commission NBTC Telecommunication network operation system management locate base station evaluate community environmental impact construct base station resilient natural threat climate change include flooding storm service continuity expansion network nationwide coverage maintain",Environmental
"865,quality safety standard limit environmental impact focus energy efficiency increase proportion alternative energy installation solar cell focus cyber security customer datum protection policy framework conform ISO standard manage safeguard information security x threat monitoring response Management ewaste business operation select partner authorize properly dispose",Social
"866,electronic waste zero landfill RD diverse range digital product encourage digital technology usage service support business growth economic development enhancement society quality life Collaboration partner variety industry development product service responsive life business digital era Maintenance standard safety fix broadband internet installation contractor Management online",Social
"867,offline sale distribution channel customer accessibility extend monitoring quality control distributor maintain fair remuneration structure marketing provision transparent complete information product service fair pricing sale service customer satisfaction varied channel include AIS Shop Center social medium Customer personal datum protection use policy procedure regulate access use customer datum",Social
"868,provision channel report complaint Retaining customer relation customer segmentation accord usage demand provide privilege maintain loyalty Responsibility product service promote cyber wellness proper electronic waste disposal Fair transparent human resource management emphasis employee development line company vision appropriate remuneration benefit creation safe hygienic work environment",Social
"869,Trustworthy accounting accurate transparent aim create financial stability conducive business growth good corporate governance ethical business conduct respect human right treat stakeholder fairly equally accordance internationally accept standard Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance",Governance
"870,Corporate Governance Management Structure Internal Control Financial Statement Analysis stakeholder business value chain Stakeholders Channels Frequencies Concerns Expectations Operational Approaches address Concerns Expectations employee Communication email Companys online system direct communication employee supervisor Human Resources Department Direct communication Management employee Town Hall twice year",Governance
"871,Job security career advancement opportunity employee Appropriate benefit remuneration Digital knowledge skill development equitable treatment follow guideline recruitment new generation quality employee retain exist personnel grow Company provide diverse range benefit amenity employee continually develop employee potential organize training assessment measure training",Social
"872,efficiency provide complaint channel employee report fraud wrongdoing eg",Governance
"873,hotline email letter Communities society Community complaint center Center day public holiday LINE official account Mtr Chumchon offer knowledge information answer question radio wave electromagnetic wave signal base station LINE official account aorsormor Facebook Fan Page Hotline day public holiday communicate information use AorSorMor Online application",Social
"874,quality telecommunication service service channel extensive coverage community advanced technology improve quality life community health risk electromagnetic wave emit cell tower receive support assistance community time disaster emergency expand mobile network cover total population broadband internet network reach million household province wide range",Social
"875,package cheese promote quality life community Thai health care control spread infection enable access technology AorSorMor Online application project Enhance knowledge skill use digital technology online marketing community enterprise promote safe decent use internet social medium Offer knowledge understanding community community leader health safety associate",Social
"876,electromagnetic wave emit cell tower set appropriate complaint channel provide assistance community time natural disaster eg",Environmental
"877,flood cold add online channel meet communitys expectation interact community regularly covid community activity difficult open educational opportunity provide scholarship young people need Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management",Governance
"878,structure Internal Control Financial Statement Stakeholders Channels Frequencies Concerns Expectations Operational Approaches address Concerns Expectations Customers AIS Center functioning primary channel collect customer satisfaction survey result comment recommendation employee service automatic IVR chatbot day",Social
