Sentence,Category
Telecommunication Tower Rental Agreement Company Significant Terms Condition Benefit Agreement Period Expiration AWN AWN rent telecommunication tower NT NT agree use space maintenance service AWN Pay usage base fee estimate total net value year period approximately billion baht,None
year Dec Commercial Agreement NT CAT,None
Telecommunication Tower Rental Agreement Company Significant Terms Condition Benefit Agreement Period Expiration AWN AWN rent telecommunication equipment tower NT NT agree use space maintenance service AWN pay monthly fee tower rental related service year Sep Policy invest subsidiary associate company AIS invest subsidiary company purpose support main business operate relate,None
service beneficial business,None
AIS appoint director executive representative company purpose shareholder benefit value maximization,Governance
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Enterprise Risk Management risk management important process help AIS group company AIS achieve objective goal appropriately respond expectation stakeholder,Governance
AIS establish Enterprise Risk Management Policy Framework applicable corporate operational level order manage maintain risk acceptable level risk Appetite,Governance
Enterprise risk management framework AIS consist follow component,None
AIS fully consider different significant business risk line risk management guideline strategic Risk S operational risk o Financial Risk F Compliance risk C emerge risk Company clearly identify detail consideration risk example Information Technology risk Risk Cybersecurity Risk Environment Social Governance risk ESG sustainability Company consider important,Governance
emerge risk newly identify risk category expect longterm impact company business,None
enterprise risk Management ERM Business Continuity Management BCM Business Risk Management Fraud Risk Management FRM Strategic risk operational Risk Financial Risk Compliance risk emerge risk Fraud Risk Risk Management Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement AIS enterprise,Governance
risk Management framework process align integrate framework COSO ERM Enterprise risk Management Integrating Strategy Performance apply business risk management fraud risk management,Governance
step risk management process,None
set objective corporate functional level alignment AIS corporate strategy risk appetite approve Board Directors review annually,Governance
identify event negative impact risk ais ability achieve goal target consider internal factor operational process human resource external factor customer economy politic regulation,Governance
assess identify risk consider likelihood risk occur potential impact risk occur,None
add correlation impact risk affect risk,None
prioritize risk consideration degree importance risk potential damage company,None
plan risk response measure consideration level risk involve correspond cost benefit,None
establish control activity help ensure desire risk response implement intend carry effectively,Governance
monitor report status risk effectiveness risk management process,Governance
report forward Audit Risk Committee Executive Committee Board Directors regularly,Governance
set Objective,None
identify event,Social
Assess Risks,None
prioritize risk,None
risk Response,Governance
Control activity,Governance
Monitor Report AIS Enterprise Risk Management Framework Processes Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Audit Risk Committee Audit Risk Committee appoint Board Directors responsible perform risk oversight ensure compliance,Governance
company risk management framework guideline,None
Audit Risk Committee responsible review appropriateness effectiveness Companys business process risk management process,Governance
Executive Committee Executive Committee responsible ensure management manage risk properly corporate level operational level oversee monitor status Companys key risk,Governance
Risk Management Committee Risk Management Committee chair Chief Executive Officer comprise head business unit,Governance
Risk Management Committee hold quarterly meeting order identify assess new risk correlation identify risk review follow accomplishment risk management strategy compare action plan measure result,Governance
Risk Management Committee report risk management result Audit Risk Committee Executive Committee Board Directors quarterly basis ensure Companys key risk closely monitor manage acceptable level Company able accomplish goal objective,Governance
risk Management Unit Risk Management Unit responsible provide advice management employee implement risk management process accordance establish framework,Governance
responsible integrate risk management process strategic planning process,Governance
Chief Executive Officer Chief Executive Officer responsible determine key operational strategy account Companys risk appetite,Governance
ceo ultimate owner risk issue Company responsible promote risk management culture level employee,Governance
head business unit Heads business unit responsible comply risk management policy framework communicate employee line work ensure understanding,Governance
responsible identify assess manage risk associate work line accordance Companys establish framework deliver information Risk Management Unit,Governance
employee employee responsible learn awareness risk management apply risk management policy framework daily operation,Governance
role responsibility AIS Risk Management Board Directors Board Directors responsible oversee overall risk management accordance business strategy objective establish Companys risk management policy risk appetite tolerance consider key risk mitigation plan foster risk management culture company,Governance
Board Directors Executive Committee Chief Executive Officer Audit Risk Committee Risk Management Committee Heads Business Units employee Risk Management Unit Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement fraud immediately ready fully cooperate investigation,Governance
Company appoint Fraud Risk Management Committee frmc oversee policy fraud risk management process support function relevant develop fraud risk management include selfmanagement systematic risk control,Governance
Business Continuity Management Company set place business continuity management system conformance international standard,Governance
objective continue operation event natural disaster situation Companys control potential cause interruption core operating system loss company property personnel include Critical Business Process central regional level include AIS Group subsidiary company,Social
support system Company establish Business Continuity Management policy manual appoint Crisis Management Committee comprise executive business unit chair Chief Executive Officer,Governance
Crisis Management Committee responsibility authority decision time crisis include incident response oversee necessary internal external communication efficient timely manner ensure effectiveness sustainability Companys business,Governance
business continuity management BCM process comprise main step follow BCM Prepare deploy BCP Conduct BCP Practice Drills Review improve Fraud Corruption Risk Management AIS declare antibribery corruption policy provide guideline director executive employee level performance duty enable Company comply relevant law regulation,Governance
prevent Company director executive employee stakeholder perform act violate law bribery corruption,Governance
Additionally AIS carry assessment risk associate bribery corruption year design work process involved department prevent risk arise bribery corruption,Governance
manage corruption risk AIS declare policy management risk arise corruption prevent monitor report manage corruption issue,Governance
policy prescribe guideline manage corruption risk accord follow aspect,Governance
Prevention proactively identify assess review respond possible act fraud organization communicate issue employee level build awareness understanding importance fraud corruption misconduct reporting,Governance
detection check investigate misconduct fraudulent case reasonable suspicion,Governance
response perform investigation process punishment,Governance
Companys objective director executive employee aware fraud risk notify Company action possibly lead,Governance
prepare business continuity plan business continuity plan prepare accordance objective business continuity management enable Company cope potential impact disaster,Social
plan consideration Business Impact Analysis BIA risk determine critical service critical process unit define time period endure result disruption deem unacceptable,Governance
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement,Governance
deploy business continuity plan approve business continuity plan distribute communicate related party understanding ensure,Governance
step include preparation resource internal external necessary implementation business continuity plan,Governance
conduct business continuity plan practice drill business continuity plan practice drill arrange accord define schedule target,Social
report result practice drill shall report person accountable business continuity plan Crisis Management Committee respectively,Governance
Review improve business continuity management system plan shall periodically review improve observation practice drill ensure effectiveness alignment risk level currently face organization,Governance
overview Business Continuity Management Framework AIS place Business Continuity Management System comprise Enterprise Business Continuity Plan Enterprise BCP Departmental Business Continuity Plan Departmental BCP Disaster Recovery Plan drp,Governance
risk assessment threat Company assess likelihood threat occur impact order prepare Business Continuity Plan level detail Enterprise BCP assess threat impact Company cope crisis emergency adversely affect damage working facility staff,Social
departmental bcp base finding Business Impact Analysis BIA place manage situation event department able perform process directly impact Companys product service,Social
Disaster Recovery plan drp plan establish provide strategy working process recover information technology system support critical process,Social
include resource require ensure business continuity acceptable recovery time acceptable operational level,Governance
BCP critical business process AIS Business Continuity Management Committee assign senior executive head related party prepare business continuity plan ensure continuation critical business process direct impact Companys ability deliver critical service,Governance
responsibility management staff support activity relate business continuity management,Governance
chief preparation business continuity plan allocation resource accord business continuity plan carry practice drill review plan ensure effectiveness business continuity management,Governance
build organizational culture enterprise risk Management promote robust implementation risk management framework Company place activity embed risk culture management employee build awareness understanding role responsibility apply risk management daytoday operation enhance ability achieve Companys objective goal,Governance
ais work foster organizational culture risk management follow tone,Governance
set clear direction Company communicate semiannual performance review ensure employee level understanding acknowledge direction obstacleschallenge company business operation shortterm longterm,Social
management set clear expectation employee manage risk achievement objective,Governance
management role model actively discuss risk risk appetite daytoday operation activity,Governance
risk governance transparency,Governance
management employee clear accountability manage risk,Governance
role clearly state Companys Risk Management Policy Manual,Governance
promote open honest communication relevant party include riskrelate information incident,Governance
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement risk resource competence,Governance
encourage director executive attend training development risk Management relate topic form training program knowledge share form expert activity,Governance
provide knowledge risk Management principle employee online learn platform employee selfstudy convenience,Social
publish knowledgesharing material infographic easyto understand ebrochure employee,Social
Risk Management Unit provide advice department apply risk management concept function facilitated risk workshop risk register template etc,Governance
decision making motivation,None
promote discussion risk acceptable acceptable use information basis decision making process,Governance
integrate risk management companys new product service development process,None
feasibility study process project owner shall identify risk factor financial risk regulatory compliance risk related mitigation plan support consideration project approval,Governance
Company plan integrate risk management business plan approval process performance appraisal,Governance
performance result goal Business Continuity Management System BCMS AIS receive ISO Business Continuity Management System certification Cloud service colocation service certify company develop complete business continuity management system cope crisis disaster far enhance sustainable development organization,Social
AIS continue conduct business continuity practice drill continuation critical business process,Social
drill scenario fire situation Companys main office building result interruption AIS network service carry test responsiveness business continuity plan ensure continuity service,Social
Company place importance create knowledge understanding awareness Business Continuity Management System BCMS employee,Social
learning material prepare form ELearning Infographics communicate employee level,Social
risk Management System AIS establish risk management process report result quarterly focus emerge risk,Governance
ais incorporate risk analysis assessment development business strategy objective enhance awareness understanding risk management,Governance
Risk Management Committee present information relevant business operation Board Directors Executive Committee Audit Risk Committee regular basis,Governance
relevant department receive information manage risk timely manner,Governance
addition Company focus provide education raise awareness risk management framework director management employee regular basis ensure risk management practice date line current circumstance,Governance
risk Management implementation ongoing improvement Company continue apply COSO ERM Enterprise risk Management Integrating Strategy Performance function,Governance
Business Continuity Company apply ISO framework Business Continuity Management System business process ensure AIS ready able respond manage variety situation time crisis,Social
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement risk factor identify risk potential impact business objective goal opportunity AIS AIS group company AIS consider follow factor,Governance
internal external factor human resource change technology regulation customer behavior business environment,Social
extreme event ongoing condition adverse effect Companys work practice business competitiveness include flood fire natural disaster pandemic,Social
past event current exposure future trend affect AIS group business operation,None
significant movement economy society environment short term long term,None
cause potentially adverse event affect AIS group business operation,None
new initiative new product service AIS seek develop,None
opportunity identify new value add activity,None
risk identification process Management employee identify risk corporate functional level risk Management Working Group consider select identify risk propose Risk Management Committee corporate risk Risk Management Committee consider propose risk prioritize base likelihood potential impact,Governance
process include definition acceptable risk level risk appetite tolerance identification mitigation risk management action,Governance
Risk Management Committee propose plan Board Directors acknowledgement,Governance
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Significant risk factor AIS consider risk factor base Sustainability Environmental Social Governance ESG consider risk factor ongoing risk emerge risk occur change environment,Governance
classify follow risk category ESG Strategic Risks Operational Risks Financial Risks Compliance Risks Emerging Risks environmental e Climate Change risk Social S risk Data Privacy risk inability acquire retain interdisciplinary talent g risk Intensive Competition Market risk Technological Advancements substitution product service Supply Chain risk risk major network Failure Interruption,None
Important Systems risk Information Security Threats CyberAttack risk Exchange Rate Fluctuation Risks absence debt covenant ratio risk change government policy rule regulation order regulator risk arise Disputes Government Agencies risk Potential Consolidation Main Competitors Geopolitical Geoeconomics Risk Annual Report form Report l Advanced Info Service Public Company Limited Chairman,None
CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Risks Industry Regulation Government Policies,Governance
risk Changes Government Policies Rules Regulations Orders Regulators AIS operate supervision government agency NBTC organization responsible regulate operator grant license telecommunication industry legal authority issue rule regulation order regulate licensee,Governance
rule regulation order issue future relate amend tariff structure service fee measure consumer protection potential affect Companys business operation reduce Companys ability generate profit andor increase cost service,None
work directly relate government agency AIS dedicated unit responsible regularly monitor issuance change regulation report change management coordinate relevant department ensure inform promptly ready respond,Social
unit role include act intermediary coordinate government agency ensure necessary information business impact regulation,Governance
furthermore Company service provider direct stakeholder invite provide opinion comment draft law rule regulation andor order issue enforcement future,Governance
unit Company opportunity comment suggestion andor raise concern opposition enactment law rule regulation andor order event deem likely impact Companys operation unlawfully conduct,None
risk arise Disputes Government Agencies past AIS operate business provide telecommunications service concession agreement State enterprise,None
require transfer asset Company invest use business operation government contracting party implementation revenue sharing model specify rate,None
AIS encounter number dispute arise disagreement interpretation agreement revenue share,None
case nbtc announcement regulation order result impact AIS business operation concern compliance extent affect business operation operating income andor increase service cost,None
case AIS exercise right law sue NBTC court law order contest legitimacy action undertake NBTC,None
information additional detail topic AIS establish department directly responsible coordinate government agency Company contract party conduct business correctly complete compliance relevant contract,Governance
event conflict Company enter negotiation aim seek prompt settlement,None
event issue resolve negotiation dispute enter dispute resolution process arbitral tribunal specify agreement,None
addition matter court jurisdiction rule final decision,None
Operational Risks,None
risk Intensive Competition market high penetration rate especially mobile business limit subscriber growth cause intense price competition operator continue grow customer base market share,None
include offer promotion package especially provision mobile package bundle mobile device prevalently introduce unlimited datum package attract customer,None
development limit revenue growth opportunity operator need expand network maintain quality,Social
result profitability challenge,None
AIS incorporate follow step risk management plan develop new technology G open opportunity product service differentiate diverse G service residential corporate customer,Social
help generate additional new form income,None
introduce Fixed Mobile Convergence fmc product continually expand Companys Fixed Broadband network enhance network quality coverage,None
drive new digital business offer service relate daily life Potential Impact Risks Risk Movement Business operation revenue cost company reputation significant change Potential Impact Risks Risk Movement financial status company reputation significant change Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance,None
Corporate Governance Management Structure Internal Control Financial Statement digital form customer video platform service insurance service financial service etc help create new source income,Governance
enhance quality sale service privilege program build differentiation gain customer engagement,Social
develop strategy maintain customer base offer personalize product service meet need customer use Advanced Analytics Tools,Social
risk Technological Advancements substitution product service Changes advance technology especially digital technology enable new type product service new entrant service provider new digital online channel new business model low cost structure,None
include platform provider OTT service message music video social medium investment telecommunication infrastructure require enable consumer enjoy alternative service OTT low fee case free base advertising model,None
increase new service substitute service currently provide company internet service satellite,None
trend directly affect business operation Company require continue invest improve network develop offer product service generate revenue,None
risk inability acquire retain interdisciplinary talent employment market trend significantly change covid outbreak,Social
result business grow support change consumer behavior government direction drive digital adoption create high demand skilled worker Digital Sales customer service,Social
addition change behavior workingage population need worklife balance demand hybrid work model bring challenge Company attract talent create opportunity career advancement adopt flexible workplace policy maintain corporate culture employee happy,Social
able respond quickly customer need,Social
company develop necessary skill capability timely manner business advantage current business new business future impact,None
AIS incorporate follow step risk management plan respond customer need,None
imperative Company adapt develop business plan tackle challenge order retain customer base generate revenue sustain long term growth,None
AIS incorporate follow step risk management plan define key strategy shortterm longterm respond change customer behavior technology,Governance
Invest new business create new source revenue long term focus new digital business collaboration partner industry expert Cloud IoT Cyber security Digital finance,Social
develop improve exist product service advanced technology address digital lifestyle consumer example,Social
offer new valueadde product service mobile phone highspeed internet digital content reduce complexity save cost customer increase privilege attract customer,None
increase capability satisfy customer need use Data Analytics offer product service meet customer demand,Social
Digitalize customer service eg,None
online product offer build AIChatbot capability implement Robotic Process Automation customer service develop network infrastructure customer service system support system incorporate new technology cloud technology,Social
transform organizational structure develop competency employee support key strategy company,Social
Invest research development innovation capture trend new technology partner external organization business partner research develop innovation,Social
Potential Impact Risks Risk Movement financial revenue market share company reputation increase likelihood Potential Impact Risks Risk Movement financial revenue market share company reputation increase likelihood Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal,Governance
Control Financial Statement Recruit employee new ability meet need Company develop necessary skill capability apply new business future,Governance
collaborate worldclass institution specific expertise lay foundation develop requisite knowledge prepare highpotential employee digital business age ensure readiness emerge risk digital era,Social
plan succession plan clear Career Model open opportunity growth organization,Social
create organizational culture digital era agility capability continuous selfimprovement ethic FIT FUN FAIR,Social
AIS incorporate follow step risk management plan apply multivendor purchasing policy major equipment service prevent risk rely single supplier,Social
establish approve vendorsupplier list vendorssupplier pass Companys quality standard Multivendor,Social
maintain equipment spare inventory suitable level order avoid shortage,None
Engage longterm contract Frame Contract main ven dorsservice supplier,Social
explore new technology reduce dependence particular equipment,Environmental
risk Major Network Failure Interruption Important Systems Telecommunications service basic infrastructure consumer enterprise,None
uncontrollable disaster natural disaster crisis event potentially lead interruption Companys network primary operating system business activity directly affect continuity service delivery Company reputation reliability Company revenue include additional expense compensate customer recovery service,None
ensure Companys continuity deliver service customer AIS set follow step risk management plan set redundancy backup key operating system require provide service,Governance
set system process monitor quality operation network resolve problem timely manner,Governance
schedule maintenance plan equipment system important,None
adopt infrastructure design reduce potential impact disaster eg,Social
apply EIAC standard telecom tower support high wind speed record Thai history raise height base station base level heavy flooding year,Environmental
Establish Business Continuity Management BCM policy corporate departmental level conduct Annual Review carry exercise practice test Business Continuity Plan,Governance
AIS receive ISO Business Continuity Management System certification recognition implementation Companys Business Continuity Management System cope crisis situation,Social
Supply Chain risk Company source network equipment maintenance service limited number vendorssupplier available mainly China european country,Social
general telecommunication service provider tend use equipment vendor ensure technology compatibility nationwide service proper maintenance service,None
past year increase tension cause public policy trade dispute China United States America global chipset shortage situation covid outbreak cause impact global supply chain disruption,Social
vendorssupplier unable deliver network equipment affect network expansion plan,None
Potential Impact Risks Risk Movement Company reputation market share Trend increase Potential Impact Risks Risk Movement financial revenue business system disruption company reputation significant change Potential Impact Risks Risk Movement Financial revenue company reputation unachieved operation significant change Annual Report form Report l Advanced Info Service Public Company Limited Chairman ceo,None
Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement,Governance
risk Data Privacy Company provide service large number customer individual enterprise essential secure personal datum prevent risk arise leakage customer personal datum,Social
addition risk occur violation human right company disclose information request,Governance
Company subject compliance relevant law regulation example Personal Data Protection Act PDPA General Data Protection Regulation GDPR,Governance
AIS incorporate follow step risk management plan Set Data Protection Office DPO monitor coordinate relevant party ensure Company proper process respect collection use disclosure personal datum,Governance
develop Privacy Policy accordance relevant law regulation announcement government,Governance
develop procedure access manage personal datum secure manner,Social
ensure proper internal control place subject regular review,Governance
case Company disclose personal datum government body request Company verify legal authority requestor determine scope datum prescribe law ensure violation personal right,Governance
case datum leakage undergo process place handle customer complaint include respond mitigate action,Social
threat detection focus reduce detection time time handle detect threat apply automation process detect respond threat etc,Social
enhance information security measure eg review access control procedure maintain closed working environment build awareness entire company,Social
Enhance staff competency relate Cybersecurity order operate accordance standard personal data protection cloud security vulnerability system detection threat etc,Social
Enhance cybersecurity knowledge understand awareness employee executive level,Social
Review improve cyberthreat response process align global NIST Cybersecurity Framework integrate organization crisis response plan,Social
Conduct Cyber Drill year cover relevant employee executive,Governance
risk Information Security Threats Cyberattack Company rapidly develop variety product service serve customer need follow digital era transform customer behavior,Social
new technology system essential develop improve product service complexity application advanced technology come risk inherent information technology,Social
risk result complexity technology gap skill knowledge level company employee potential deficiency Companys system external threat cyberattack,Social
information security system insufficient incomplete impact company especially important datum personal datum customer compromise,Social
include cyberattack eg DDoS attack website phishing malwareviruse etc cause severe business disruption,Governance
ensure effectiveness Companys information security AIS regularly review revise security policy Companys system follow way apply suitable international standard alignment Cybersecurity Act Personal Data Protection Act,Social
extend expand security tool cover significant system Multi Factor Authentication MFA access information technology system outside company expand threat detection capability emphasize proactive Potential Impact Risks Risk Movement Company reputation penalty regulatory body significant change Potential Impact Risks Risk Movement financial revenue business system disruption company,Social
reputation significant change Financial Risks,None
risk Exchange Rate Fluctuation Company expose risk foreign exchange rate fluctuation International Roaming revenue expenditure foreign currency certain network expenditure foreign currency,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement AAtha rating end reflect high capability settle interest capital obligation strong financial standing,Governance
company devote importance maintain credit rating interest capital cost appropriate level longterm financial stability prioritize maintenance financial ratio act key indicator credit rating Net Debt ebitda standard rating firm,None
emerge risk,None
risk arise potential consolidation main competitor potential consolidation main competitor result opportunity risk AIS operating strategy number major telecommunication operator especially mobile communication service drop similar market share,None
consolidation lead change competitor financial AIS incorporate follow step risk management plan arrange Management meeting consider situation prepare adjust Companys strategy operation accordingly,None
Study regulation andor relevant law coordinate government agency oversight authority view government sector prepare Company respond change rule regulation,Social
commit develop expand network infrastructure continuously emphasis leader provide high quality service build consumer confidence,Social
work organizational preparedness deliver diverse range product service address change need expectation consumer,Social
climate Change risk climate change issue increasingly gain attention global community,Environmental
country affect extreme weather event Thailand join force international community tackle problem announce plan pursue netzero carbon emission target,Environmental
development climate change emerge risk prompt thai government adjust policy,Environmental
process drafting climate changerelate law revise national energy plan prepare operation line target,Environmental
addition failure climatechange adaptation discuss global community result need adjust plan tackle increase risk climate change,Environmental
status competitiveness investment,None
instigate change market competition scenario affect regulate guideline NBTC industry view consumer operator,Social
necessary AIS prepare cope situation,Environmental
risk absence debt covenant ratio term company loan agreement absence debt covenant ratio condition debenture issuer holder company adhere company accrue unmitigated debt impact repayment ability,None
company exercise caution debt accruement analyze necessity debt term benefit result investment relate opportunity generation revenue profit support longterm growth,None
analysis perform appropriately plan cash flow ensure longterm stability determine financial obligation repayment capability determine appropriate borrowing instrument right cost avoid impact companys financial status,None
company long maintain high credit rating lead domestic international firm achieve Potential Impact Risks Risk Movement Cost andor revenue significant change Potential Impact Risks Risk Movement Revenue Financial Status cost significant change AIS incorporate follow step risk management plan enact exchange risk management policy manage financial instrument,None
example use Forward Contracts specify exchange rate time contract date apply future delivery contract service,None
use exist foreign currency deposit Natural Hedge payment good service foreign currency,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement AIS business operation likely affect physical risk transition risk area follow,Governance
natural disaster damage network infrastructure device increase operate cost level preventive measure damage maintenance,Social
transportation production impact supply chain disruption,Social
change regulation government policy tend control greenhouse gas emission upward pressure operating management cost prompt AIS adjust way thinking create innovation enhance energy efficiency reduce greenhouse gas emission compliance future legislature,Environmental
change behavior consumer ecoconscious bring challenge opportunity AIS demand Company adjust business strategy corporate image align development,Social
generate new source revenue low carbon product service enterprise client look digital service help reduce greenhouse gas emission general customer opt company concern environment,Environmental
AIS incorporate follow step risk management plan change target align global national trend,Social
aim global community tackle climate change AIS adjust Companys environmental target challenging adopt Sciencebased Target Initiative SBTi stimulate business value chain streamline operation environmentally friendly,Environmental
promote Energy Efficiency study customer usage behavior use power saving feature properly manage network channel help reduce energy consumption GHG emission,Environmental
Alternative Energy Use instal solar panel base station datum center switch center,Environmental
AIS team business partner expertise alternative energy plan accelerate proportion alternative energy use low operating management cost,Environmental
Preparation climate adaptation,Environmental
assess climaterelate risk scenario analysis formulate plan new site construction elevate Mobile Base Station BTS build flood wall floodprone area,Environmental
LowCarbon Products Services Development Customer Engagement develop smart solution service enable corporate client enhance energy efficiency means reduce GHG emission Smart factory smart property building,Environmental
furthermore AIS encourage customer switch mail bill ebilling promote AIS application,None
effort help reduce paper usage need travel,Environmental
geopolitical Geoeconomic Risks major geopolitical event RussiaUkraine conflict USChina strategic competition especially international trade barrier implement policy terrorist attack thing create shock global market subsequently overall wellbeing domestic economic condition,Social
factor result uncertainty macroeconomic environment include consumer business demand supply purchasing power employment tourism,None
disruption supply demand effect revenue cost structure industrial service sector include telecommunication industry,None
geopolitical geoeconomic risk follow effect business raising cost living purchasing power customer especially prepaid hold majority portion subscriber lower ability generate revenue growth,None
increase operating cost heighten energy price inflation include disruption supply demand impact ability generate profit company delay investment new business,None
factor reduce competitiveness long term,None
incorporate follow step risk mitigation Provide product service variety price level package consumer choose accord purchase power include product service target specific customer group meet need,None
provide distribution channel customer easily access include shop online channel agent,None
enhance feature myai application include service meet consumer lifestyle use case,Social
regularly review allocation capital cost structure business,None
encourage business unit revisit operating model transformation program improve cost structure,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Sustainable Development Business year global recovery covid pandemic return normal reality,Governance
economic rebound temper international conflict aggravate problem social inequality,Social
far compound climate change continue pose threat world community,Environmental
challenge inevitably digital technology smart solution service integral people society live work numerous dimension,Social
response AIS priority economic revival development require create society economy ensure sustainable growth leave,Social
accomplish create society immune change arise future,Environmental
AIS business sustainability option realize Company set role model major service provider commit conduct business pose harm economy society environment,Social
demonstrate commitment operate sustainably dimension result AIS list domestic international sustainability index Dow Jones World Index Emerging Market Index telecommunications industry category consecutive year Index consecutive year SET Thailand Sustainability Investment thsi list consecutive year,Social
addition AIS receive idcs Future Enterprise Awards Special Award Sustainability International Data Corporation IDC list ESG list company promising performance term Environmental Social Governance ESG factor Thaipat Institute consecutive year,Environmental
AIS clearly define sustainable business direction allow goal materialize,Social
aspect term risk opportunity encapsulate Approaches sustainable Development act compass way drive digital economy promote digital inclusion act climate,Environmental
aspect relate risk opportunity encompass economic social environmental dimension categorize topic digital Innovation cyber security customer privacy protection human resource management social inclusion digital wellness climate action waste management,Environmental
furthermore AIS establish Sustainable Development Committee task consider policy strategy goal target activity pertinent sustainable development review performance accord prescribe policy strategy achieve goal,Social
result report Board Directors meet quarterly,Governance
detail Report Pages Scope Authority Duties Board Directors Boardcommittees,Governance
commitment conduct business create balanced value society environment principle good corporate governance,Governance
Company support United Nations Sustainable Development goal lay groundwork countrys development create value sector Thai society enable grow sustainably,Social
sustainability management policy target Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Drive Digital Economy thrive greener inclusive digital world Promote Digital Inclusion Act Climate Enable people business grow digital economy Build inclusive,Social
responsible digital access product service provide inclusive digital access promote social economic wellbeing support consumer digitally responsible promote livelihood Expand g connectivity support economic growth drive digital service consumer enterprise Maintain resiliency datum security privacy Enhance human capital capability support business transformation shape green future life consumer society manage network,Social
operation light environment support customer supply chain reduce environmental footprint Business Sustainability Strategy Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Digital Innovation revenue generate new digital service enable digital,Social
economy Cybersecurity Customer Privacy Protection Uphold security standard equivalent peer group company industry region verify independent party Human Resource Management AIS employee equip new digital skill literacy Enhance cyber security datum privacy protect critical business value chain Social Inclusion improve socioeconomic condition million people,Social
