Sentence Index,Sentence
2235,authority responsibility delegate employee base    demonstrate competence person
2236,segregation Duties SoD    apply ensure check balance
2237,personnel responsible    accountable internal control Office Internal Audit perform     duty independently report functionally Audit Risk Committee     oversee internal auditing ensure check balance  
2238,ais place high value human resource management     strategy place recruit develop retain personnel enhance    organizational efficiency
2239,employee encourage use potential     strengthen organization competitiveness adhere labor law    account human right
2240,AIS strive provide pleasant    working environment employee pursue sustainable business    objective
2241,AIS maintain succession plan leadership development    place prepare successor future role
2242,performance appraisal    remuneration benefit place consideration     performance base corporate KPIs leadership competency     compliance culture business ethic
2243,detail    Management Structure    Page    Human Capital Development    section AIS Sustainability Report Page     Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2244,GovernanceManagement StructureInternal ControlFinancial StatementRisk Assessment AIS devote importance management risk     relevant achievement objective manage     risk organizationwide operation level
2245,Risk    Management Committee collaborate Enterprise Risk Management     Department carry risk assessment management
2246,detail    Risk Management    Page
2247,Board Directors place    Enterprise risk Management ERM Framework oversight    Audit Risk Committee
2248,framework comprise relevant policy risk    appetite risk capacity tolerance
2249,Audit Risk Committee review    enterprise risk management adequacy Risk Management Policy stipulate Risk Management Committee prior proposal    Board Directors
2250,Audit Risk Committee responsible     consider provide advice risk oversight Board Directors     assess adequacy appropriateness strategic risk     management
2251,Control Activities AIS maintain write control measure appropriate    risk specific characteristic integrate    business procedure consideration environment complexity    characteristic operational scope
2252,measure extend process    accounting finance human resource management applicable    legal regulatory compliance cover approval authority different    item different level management
2253,segregation Duties    SoD place ensure check balance respect record    transaction approval relevant resource management
2254,activity mix manual control automate control preventive detective control
2255,policy regulation review periodically    appropriateness     
2256,AIS select develop appropriate technological     control system ensure integrity continuity security development     maintenance information technology system assign     dedicated department maintain technology infrastructure software   
2257,AIS oversee determine implement policy procedure     administrative system access control corporate information system
2258,AIS manage internal external threat assign    dedicated team respond violation
2259,automated monitoring    place clock relevant team notify action    breach occur
2260,addition AIS establish committee     Cybersecurity Committee Personal Data Cybersecurity Committee    Data Protection Office Program Steering Committee devise policy     strategy guideline order ensure efficiency cybersecurity    personal datum protection Company stakeholder
2261,   committee task educate personnel cybersecurity    personal datum protection
2262,foundation AIS secure    computer information system AIS subsidiary    intrusion theft destruction interruption infiltration damage business operation assure compliance applicable law
2263,detail Cyber Security Customer Privacy Protection section AIS Sustainability Report Page  
2264,Board Directors management supervisor    responsible clarify purpose internal control    activity relevant personnel ensure proper    practice
2265,furthermore Lines Model facilitate strong    governance risk management adopt department task Line Roles Second Line Roles Office Internal Audit entrust Line Roles underpin operation    achieve objective improve effectiveness internal control    mitigate risk acceptable level timely manner
2266,information    Communication    AIS emphasize quality information underpin internal    control activity
2267,ais information system efficient uptodate    continually improve allow processing large    datum managerial information timely manner empower     competitiveness consideration cost benefit
2268,crucial     document include relate accounting law finance important    business transaction properly classify store rigorous    access control retention period mandate law
2269,AIS regularly produce material report Board    Directors inform decision making ahead board meeting     require law produce minute meeting    adequate detail storage Company Secretary Office review reference
2270,AIS maintain efficient internal communication
2271,internal    communication team communicate strategy transmit message     internally efficient channel AIS DooDi web    portal Microsoft Teams application sms email People Champions   
2272,special channel include weekly Aunjai Station podcast allow close tie staff executive AIS LearnDi platform    Virtual Town Hall communicate important information     employee ensure inclusive sharing pertinent information
2273,    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2274,GovernanceManagement StructureInternal ControlFinancial Statementaddition Company provide communication channel Board    Portal Company Secretary Office Board Directors Executive    Committee SubCommittee Directors management employee stakeholder    outsider safely report case misconduct fraud    channel prescribe Fraud andor Misconduct Reporting    Whistleblower Protection Policy directly Audit Risk Committee    email    auditandriskcommitteeaiscoth Head Audit Business    Unit email nokweedaiscoth Chief Human Resources Officer    email hrnokweedaiscoth Company Secretary email     companysecretaryaiscoth Nokweed Hotline      send letter Chief Executive Officer     aforementione person Companys address
2275,Fraud Misconduct Reporting Whistleblower Protection Policy informant    shall protect
2276,raise awareness misconduct fraud    AIS depict infraction penalty illustrate cartoon conceal
2277,communication outside stakeholder Company    Secretary Office Investor Relations Department Complaint Center  
2278,channel available inquiry recommendation Board Directors   
2279,monitor Activities AIS Management Supervisors establish process monitor    effectiveness internal control system followup meeting    irregularity investigation control selfassessment     Office Internal Audit task provide independent objective    assurance Board Directors management adequacy     effectiveness internal control system risk management governance     accordance mission scope internal audit activity     provide consulting service design add value improve     organization operation help organization accomplish    objective
2280,Office Internal Audit report result Audit Risk    Committee monthly basis
2281,Audit Risk Committee present    finding Board Directors hold meeting External Auditors    assess adequacy effectiveness internal control system quarterly basis
2282,significant internal control deficiency detect Management    analyze root cause assign employee remedy issue timely manner
2283,Board Directors prescribe level deficiency    require Management Office Internal Audit report Audit    Risk Committee immediately example matter high financial    impact damage company reputation noncompliance law    regulation violation key control system possible fraud
2284,Office    Internal Audit assign department responsible follow    Managements corrective action report Audit Risk Committee matter completely remediate
2285,internal Audit    Mr Montri Khongkruephan appoint AIS Head Audit Business Unit    October
2286,Audit Risk Committee agree expertise    competency experience field understanding    Companys function operation support role responsibility
2287,qualification Head Audit Business Unit     page
2288,Head Audit Business Unit report directly Audit Risk     Committee ensure Office Internal Audit perform duty    independence objectivity integrity professionalism adherence    internal audit standard
2289,Head Audit Business Unit report    administratively Chief Executive Officer
2290,approval appointment     dismissal transfer Head Audit Business Unit concur Audit Risk Committee
2291,Office Internal Audit operate independently Internal Audit    Charter clearly specify internal audit mission scope authority    responsibility procedure accordance International     Professional Practice Framework ippf internal audit
2292,Internal Audit    Charter revise periodically appropriacy
2293,Office Internal Audits    duty include provision independent objective assurance consulting    service design add value improve organization operation evaluation effectiveness adequacy internal control    system risk management system governance order support    Companys business objective target
2294,addition base    finding aforementioned evaluation Office Internal Audit    recommendation Management improve internal control system    risk prevention measure governance system order adequate    control place unfavorable event occur negatively affect Companys business
2295,Office Internal Audit engage duty act    channel internal external party file complaint suspect    misconduct fraudulent action
2296,receive complaint    Office Internal Audit initiate factfinde accordance    Fraud andor Misconduct Reporting Whistleblower Protection Policy    report finding Audit Risk Committee monthly basis
2297,   Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2298,GovernanceManagement StructureInternal ControlFinancial StatementThe Office Internal Audit promote business ethic fraud risk    awareness employee increase understanding    thereof internal fraud prevention communication order    employee appropriately carry duty compliance    Companys Code Business Ethics Fraud andor Misconduct Reporting Whistleblower Protection Policy
2299,Office Internal Audit    act Secretary Audit Risk Committee support duty    responsibility assign Board Directors  
2300,Office Internal Audit embrace continuous development internal    auditing digital era promote digitalization digitalfirst mindset    apply Robotic Process Automation RPA internal audit     activity boost agility accuracy
2301,data analytic tool use    analyze datum identify potential risk area internal control     improvement support timely loss prevention
2302,Automated Audit     Program AAP far enhance use technology     facilitate internal audit activity remote working use    Microsoft Teams online meeting accessing datum program     remotely ensure business continuity
2303,employee obligate strictly    follow Cyber Security Framework Data Classification Framework    perform duty
2304,Office Internal Audit develop maintain internal audit    quality trust advisor accordance Internal Audit    Roadmap
2305,conduct internal quality assessment annual basis    external quality assessment independent assessor year ensure carry duty responsibility    add value stakeholder support Companys sustainability     development
2306,result    external quality assessment conclude    AIS internal audit activity generally conform Institute    Internal Auditors iia
2307,standard
2308,accomplishment mark    time row
2309,internal Audit Training Competency     Development
2310,p ursuit knowledge uptodate international    professional practice standard enhance effectiveness ais internal audit stay relevant Office Internal Audit regularly review adopt update local    international professional practice standard relate    internal control risk management good governance field
2311,   individual development program accordance    global internal audit competency framework internal auditor encourage continuously improve compe    tencie acquire diverse range knowledge skill applicable    exist emerge business model AIS
2312,   emphasis    place area data governance cybersecurity loss    prevention financial reporting
2314,acquire related professional certificate promote     internal auditor profession
2315,internal auditor encourage advance professional     development increase level knowledge acquire     professional auditor certificate relevant certificate  
2316,currently    certificate obtain       internal auditor    internal auditor work earn certificate
2317,example    internal auditor accredit Certified Internal Auditor CIA    internal auditor accredit Certified Information System Auditor CISA    internal auditor achieve Certification Risk Management Assurance CRMA    internal auditor accredit Certified Public Accountant cpa Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2318,GovernanceManagement StructureInternal ControlFinancial StatementRelated Transaction    Company subsidiary enter relate transaction    connect person
2319,relate transaction     ordinary course business general trading condition
2320,align Security Exchange Act       article      Companys Board Directors approve principle    August    management shall authority undertake    relate transaction transaction transaction    general trading condition
2321,approval transaction shall    constitute authority allow director executive related person approve conflict interest
2322,approval process relate transaction shall process    practice general trading transaction outside party authorized executive designate empower endorse certain limit budget accord respective rank position  
2323,Audit Risk Committee Company subsidiary    responsible review relate transaction quarter ensure conflict interest occur order maximize overall     company benefit
2324,relate transaction future shall ordinary    course business general trading condition market rate
2325,   transfer pricing relate transaction company related party related person
2326,period year end    December    Company subsidiary relate transaction auditor disclose note audit financial statement transaction review Audit Risk Committee   
2327,Audit Risk Committee opinion related tr ansaction reasonable base normal course    business
2328,Company charge    purchase product service     related party reasonable price price comparable    market rate general trading condition
2329,detail related    transaction follow    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2330,GovernanceManagement StructureInternal ControlFinancial StatementRelated partiesrelation     CompanyDetail transactionsrelate transaction period    December     million BahtRelated transaction period    December     million BahtRelated transaction period    December     Million Baht Rational necessity Company Consolidated Company Consolidated Company Consolidated   
2331,Gr oup Intouch Holding Public Com pany Limited     INTOUCH    INTOUCH major shareholder hold    codirector  
2332,    Mr Kan T rakulhoon      MrS mith Banomyong      Ms Jean Lo w Ngiap Jong    
2333,Mr Arthur Lang T ao Yih Intouch group subsidiary     Joint Venture Associtae VC
2334,Group pay service fee    pay interest expense longterm debenture    Ebook     S AP System      Equipment system television signal service     lease satellite transponder internet    satellite      t rain online course      Advertising sit ellite television
2335,Group provide mobile service handset sale   
2336,sale service     S ervice income     income     t rade account receivable Purchase good service  
2337,r ental service expense      t rade account payable     int er expense   
2338,Debentur e     p urchase property asset     Lease liability                                               
2339,subsidiary charge mobile service handset    sale rate external customer
2340,    t Group charge IR service rate    external customer
2341,    Group pay service fee transponder transmission interest expense advertising fee roaming fee software creation development    software system online training rate party     t Group pay service fee Content mobile    percentage revenue Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2342,GovernanceManagement StructureInternal ControlFinancial StatementRelated partiesrelation     CompanyDetail transactionsrelate transaction period    December     million BahtRelated transaction period    December     million BahtRelated transaction period    December     Million Baht Rational necessity Company Consolidated Company Consolidated Company Consolidated   
2343,Gr oup Gulf Energy Development    Public Company Limited    GULF GULF major shareholder INTOUCH    hold    Group Gulf Holdings    relate Group Gulf Energy Codirectors      Mr S arath Ratanavadi      MS Yupapin
2344,Wangviwat      MrP redee Daochai Gulf group subsidiary    Joint Venture Associtae
2345,subsidiary provide domestic    international phone service handset sale    GULF   
2346,sale service     S ervice income     t rade account receivable   
2347,    subsidiary charge mobile service handset    sale rate external customer  
2348,    Gr oup SingTel Strategic Investments    Private Limited    SingTel    SingTel major shareholder    Company hold subsidiary enter agreement    company SingTel group     joint International Roaming operation    service IR      Network telecom service operator ie    International Private Leased Circuit iplc content service
2349,sale service  
2350,s ervice income     income      t rade account receivable Purchase good service  
2351,r ental service expense     t rade account payable     int er expense   
2352,lease liability                                   agreement ordinary course    business party charge accepted price deduct profit margin customer rate operator  
2353,    subsidiary charge IR rate    operator content service rate    content provider
2354,    t subsidiary pay iplc IR fee rate    operator pay service fee content rate content provider Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2355,GovernanceManagement StructureInternal ControlFinancial StatementRelated partiesrelation     CompanyDetail transactionsrelate transaction period    December     million BahtRelated transaction period    December     million BahtRelated transaction period    December     Million Baht Rational necessity Company Consolidated Company Consolidated Company Consolidated     K ring Thai Bank Public Company Limited    KTB    Codirectors Mr Krairit    Euchukanonchai Chairman Executive Committee Krungthai    Bank PCLKTB provide financial service Group
2356,   subsidiary provide mobile service KTB
2357,sale service     S ervice income     t rade account receivable     int er income    Purchase good service  
2358,b ank deposit interest income     r ental service expense     t rade account payable     Debentur e     Longt erm loan interest expense     Curr ent portion long term Loan                                      KTB pr ovider financial service    bank deposit arrange loan merchant service    service  
2359,    subsidiary charge mobile service handset    sale rate external customer
2360,    t subsidiary receive interest income bank    deposit pay interest expense borrow rate commercial bankchairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2361,GovernanceManagement StructureInternal ControlFinancial Statement Financial    Statement Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2362,GovernanceManagement StructureInternal ControlFinancial StatementBoard Directors Responsibility Financial Reporting Board Directors responsible Advanced Info Service Public Company limited financial statement Advanced Info Service Public Company    Limited subsidiary consolidate financial statement include financial information present annual report
2363,aforementioned financial    statement prepare accordance Thai Financial Reporting Standards use careful judgment good estimation
2364,important information    adequately transparently disclose note financial statement Companys shareholder investor
2365,Board Directors provide maintain risk management system appropriate efficient internal control ensure accounting record    accurate reliable adequate retain asset prevent fraud materially irregular operation
2366,regard Board Directors appoint Audit Risk Committee comprise independent director responsible review quality    financial report internal control internal audit risk management system  
2367,Audit Risk Committee review disclosure related party transaction
2368,comment issue present Audit Risk    Committee Report include annual report
2369,separate financial statement consolidated financial statement Company examine external auditor KPMG Phoomchai    Audit Company Limited
2370,conduct audits express opinion accordance auditing standard record related datum request provide auditor
2371,auditor opinion present auditor report annual report
2372,Board Directors consider Companys overall internal control system satisfactory provide credibility reliability advanced Info    Service Public Company limited financial statement Advanced Info Service Public Company Limited subsidiary consolidate financial statement    year end    December    prepare accordance Thai Financial Reporting Standards related regulation       
2373,   Mr Kan T rakulhoon          Mr S omchai Lertsutiwong              Chairman Board Directors                                  Chief Executive Officer Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2374,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company LimitedIndependent Auditors Report                          Independent Auditors Report        shareholder Advanced Info Service Public Company Limited       Opinion     audit consolidated separate financ ial statement Advanced Info Service Public    Company Limited subsidiary Group Advanced Info Service Public Company    Limited Company respectively compri se consolidated separate statement    financial position     December    consolidated separate sta tement income    comprehensive income change equity cash fl ow year end note comprise    summary significant accounting policy explanatory information    
2375,opinion accompany consolidated se parate financial statement present fairly    material respect financial position Gr oup Company respectively    Decembe r     financial performance cash flow    year end accordance Thai    Financial Reporting Standards tfrs     
2376,basis Opinion       conduct audit accordance Thai Standa rd auditing tsa
2377,responsibility    standard far describe Auditors Responsibilities Audit Consolidated    Separate financial Statements    section report
2378,independent Grou p Company    accordance Code Ethics Professional Accountants includi ng Independence Standards    issue Federation Accounting Professions Code Ethics Professional Accountants    relevant audit consolidated separa te financial statement fulfil ot    ethical responsibility accordance Code Ethics Professional Accountants
2379,believe       audit evidence obtain sufficient d appropriate provide basis opinion      
2380,Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2381,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited                  Key Audit matter       key audit matter matter pro fessional judgment significance    audit consolidated separate financial st atement current period
2382,matter    address context audit consoli date separate financial statement       form opinion thereon provide separate opinion matter    
2383,revenue recognition     Refer note q    consolidated separate    financial statement   
2384,key audit matter matter address n audit  
2385,main operating revenue    mobile    service datum internet sale equipment    risk accuracy existence    revenue recognition complexity    system impact change pricing    model  
2386,addition application revenue recognition accounting standard complex    
2387,consider accounting treatment relevant    accuracy existence revenue    recognition key audit matter   
2388,audit procedure include follow    
2389,evaluate relevant system design    implementation operating effectiveness    automate control capture datum    interface relevant application measurement billing revenue recording entry general ledger   
2390,   evaluate process control authorise    rate change new price plan input    information relevant billing system  
2391,test access control change    management control system  
2392,   check accuracy customer bill generation    sample basis test sample credit    discount apply customer bill test cash receipt sample customer    customer invoice  
2393,   check key reconciliation use management business support system billing system    general ledger assess completeness accuracy revenue  
2394,   check support evidence manual journal    entry post revenue account identify    unusual item  
2395,   challenge assumption key management    estimate adopt revenue recognize    invoice issue  
2396,assess appropriateness revenue    recognition policy product service    offer Group respect TFRS    Revenue contract customer include appropriateness transaction price allocation performance    obligation identify bundle contract    base standalone sell price  
2397,Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2398,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited                  significant commercial dispute    litigation     Refer note v    consolidated separate    financial statement   
2399,key audit matter matter address n audit    Groups number significant    commercial dispute litigation    Group expose significant loss    result unfavourable outcome    dispute   
2400,significant judgement require management    assess likelihood outcome    matter risk loss remote    possible probable matter consider contingent liability disclose  
2401,risk loss probable management    require estimate provision    base expect economic outflow    result dispute litigation      consider key audit matter
2402,audit procedure include follow    
2403,inquire management legal    department regard procedure follow    collect monitor litigation dispute  
2404,   examine legal expense account  
2405,Read minute meeting management    executive monitor commercial dispute    litigation correspondence management external legal counsel  
2407,inquire legal department external    legal counsel progress litigation dispute opinion possibility    outcome  
2409,compare legal department external    legal counsel opinion possibility    outcome provision set contingent liability disclosure  
2410,   request management provide write    representation know actual possible    litigation claim effect    consider prepare financial    statement disclose   
2411,   consider adequacy Groups    disclosure accordance relate Thai    Financial Reporting Standards                        
2412,Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2413,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited                  Matter      consolidated separate financial statement Group Company year end      December    audit auditor wh o express unmodified opinion    statement    February    
2414,Information      Management responsible information
2415,information comprise information    include annual report include    consolidated separate financial statement       auditor report thereon
2416,annual report e xpecte available date
2417,o f    auditor report     
2418,opinion consolidated separate financi al statement cover information    express form assurance conclusion thereon    
2419,connection audit consolidated separate financial statement responsibility s    read information identify available consider wheth er    information materially inconsistent consolidated separate financial stateman ts    knowledge obtain audit ap pear materially misstate    
2420,read annual report conclude t material misstatement requi red    communicate matter charge governance request correction    
2421,responsibility Management charge Governance Consolidated    Separate Financial Statements     Management responsible preparation f air presentation consolidated separate    financial statement accordance tfrs internal control management determine    necessary enable preparation consolida te separate financial statement free       material misstatement fraud erro r     
2422,prepare consolidated separate financia l statement management responsible assessi ng    Groups Companys ability continue concern disclose applicable matte rs    relate concern use concer n basis accounting management    intend liquidate Group Company cease operation realistic alternative           
2423,charge governance responsible o verseee Groups Companys financial    reporting process     
2424,auditor responsibility Audit Consolidated Separate Financial Statements     
2425,objective obtain reasonable assurance consolidated separate financial     statement free material missta tement fraud error issue       auditor report include opinion
2426,reasonab le assurance high level assurance n ot    guarantee audit conduct accordance wit h TSAs detect material misstatement    exist
2427,misstatement arise fraud error consider material individual ly    aggregate reasonably expect    influence economic decision user       basis consolidated separate financ ial statement    
2428,Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2429,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited                
2430,audit accordance tsa exercise professional judgment maintain professiona l    skepticism audit
2431,       identify assess risk material misstatem ent consolidated separate financial    statement fraud error design nd perform audit procedure responsive    risk obtain audit evidence sufficient appropriate provide basis opinion   
2432,risk detect material misstatement result fraud high resultin g    error fraud involve collusion forgery    intentional omission misrepresentation     override internal control   
2433,   obtain understanding internal control relevan t audit order design audit procedure    appropriate circumstance purpose express opinion    effectiveness Groups Companys inte rnal control  
2434,   evaluate appropriateness accounting policy    use reasonableness accounting    estimate relate disclosure manageman t      Conclude appropriateness management use    concern basis accounting    base audit evidence obtain mat erial uncertainty exist relate event    condition cast significant doubt g roup Companys ability continue     concern
2435,conclude material unce rtainty exist require draw attention    auditor report relate disclosure consolidated separate financial statement    disclosure inadequate modify opini
2436,conclusion base audit    evidence obtain date auditor port
2437,future event condition    cause Group Company cease continue concern   
2438,   evaluate overall presentation structure co ntent consolidated separate financial    statement include disclosure consolidated separate financial statement    represent underlie transaction event manner achieve fair presentation   
2440,obtain sufficient appropriate audit evidence regard ing financial information entity    business activity Group express opinion consolidated financial statement   
2441,responsible direction supervision    performance group audit
2442,remain solely    responsible audit opinion        
2443,Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2444,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2445,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited note December    December    December    December        asset current asset cash cash equivalent                                                 specificallydesignate bank deposit                                                                                    restrict deposit financial institution                                                                                                       Trade current receivable                                               contract asset                                                                                 Shortterm loan related party                                                                            Inventories                                                                                 current tax asset                                                                                            current financial asset                                                                                         current asset                                                                   total current asset               
2446,                 Noncurrent asset noncurrent financial asset                                                             investment subsidiary                                                                            Investments associate joint venture                                                                        Longterm loan related party                                                                                       Property plant equipment                                              Rightofuse asset                                                Goodwill                                                                                 intangible asset goodwill                                                      Spectrum license                                                                        deferred tax asset                                                   noncurrent asset                                                    total noncurrent asset           
2447,                 total asset      
2448,                 ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary statement       FINANCIAL    POSITION       DECEMBER        UNIT    BAHT SEPARATE FINANCIAL    statementsconsolidate FINANCIAL    statement       accompany note form integral financial statement
2449,   note
2450,December    December    December    December        asset current asset cash cash equivalent                                                 specificallydesignate bank deposit                                                                                    restrict deposit financial institution                                                                                                       Trade current receivable                                               contract asset                                                                                 Shortterm loan related party                                                                            Inventories                                                                                 current tax asset                                                                                            current financial asset                                                                                         current asset                                                                   total current asset
2451,                               Noncurrent asset noncurrent financial asset                                                             investment subsidiary                                                                            Investments associate joint venture                                                                        Longterm loan related party                                                                                       Property plant equipment                                              Rightofuse asset                                                Goodwill                                                                                 intangible asset goodwill                                                      Spectrum license                                                                        deferred tax asset                                                   noncurrent asset                                                    total noncurrent asset           
2452,                 total asset      
2453,                 ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary statement       FINANCIAL    POSITION       DECEMBER        UNIT    BAHT SEPARATE FINANCIAL    statementsconsolidate FINANCIAL    statement       accompany note form integral financial statement
2454,statement financial position Advanced Info Service Public Company Limited subsidiary December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2455,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited note December    December    December    December        LIABILITIES    SHAREHOLDERS    EQUITY current liability Shortterm borrowing                                                                                                    Trade current payable                                          Provision revenue share                                            unearned income    mobile phone service                                                          Advanced receive customer                                                                                    current portion longterm liability                                                                            current portion spectrum license payable                                                                            current portion lease liability                                                Shortterm borrowing related party                                                                                  corporate income tax payable                                                      current financial liability                                                                                         current liability                                                                           total current liability                                Noncurrent liability Longterm liability                                       
2456,lease liability                                                   provision employee benefit                                                   Spectrum license payable          
2457,                                                                  noncurrent financial liability                                                                                       noncurrent liability           
2458,                                           total noncurrent liability                                  total liability                            Shareholders equity Share capital    authorise share capital    million ordinary share    Baht                                               issue pay share capital    million ordinary share    Baht    fully pay                                            
2459,share premium share premium ordinary share                                  deficit Deficits arise change ownership interest         subsidiary                                                                                    retain earning    appropriate    Legal reserve                                                         unappropriated                                component shareholder equity                                                     
2460,total shareholder equity attributable    owner company        
2461,                        noncontrolling interest                                                                                      total shareholder equity                      
2462,          total liability shareholder equity      
2463,                 ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary statement       FINANCIAL    POSITION     CONTINUED CONSOLIDATED FINANCIAL    STATEMENTSAS       DECEMBER        UNIT    BAHT SEPARATE financial    statement       accompany note form integral financial statement statement financial position continue Advanced Info Service Public Company Limited subsidiary December     note December    December    December    December        asset current asset cash cash equivalent                                                 specificallydesignate bank deposit                                                                                    restrict deposit financial institution                                                                                                       Trade current receivable                                               contract asset                                                                                 Shortterm loan related party                                                                            Inventories                                                                                 current tax asset                                                                                            current financial asset                                                                                         current asset                                                                   total current asset               
2464,                 Noncurrent asset noncurrent financial asset                                                             investment subsidiary                                                                            Investments associate joint venture                                                                        Longterm loan related party                                                                                       Property plant equipment                                              Rightofuse asset                                                Goodwill                                                                                 intangible asset goodwill                                                      Spectrum license                                                                        deferred tax asset                                                   noncurrent asset                                                    total noncurrent asset           
2465,                 total asset      
2466,                 ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary statement       FINANCIAL    POSITION       DECEMBER        UNIT    BAHT SEPARATE FINANCIAL    statementsconsolidate FINANCIAL    statement       accompany note form integral financial statement
